OLT_ALIAS,value
EMPTY,5
OLT_C300_ANDAHUAYLAS_10,2523
OLT_C300_AYACUCHO_44_F1,10791
OLT_C300_AYACUCHO_44_F2,726
OLT_C300_AZANGARO_6,1209
OLT_C300_BAGUA_CHICA_9,1203
OLT_C300_BAGUA_GRANDE_5,1009
OLT_C300_CAJABAMBA_5,1724
OLT_C300_CAMANA_13,2437
OLT_C300_CASMA_5,1382
OLT_C300_CERRO_DE_PASCO_10,4759
OLT_C300_CHACHAPOYAS_6,1343
OLT_C300_CHANCAY_10,1589
OLT_C300_CHEPEN_14,2846
OLT_C300_DESAGUADERO_4,610
OLT_C300_GUADALUPE_5,1785
OLT_C300_HUAMACHUCO_07,1792
OLT_C300_HUANTA_8,1223
OLT_C300_HUARMEY_10,1512
OLT_C300_JULIACA_54_F1,9606
OLT_C300_JULIACA_54_F2,4208
OLT_C300_JULI_4,388
OLT_C300_LA_MERCED_6,2684
OLT_C300_MAZAMARI_2,453
OLT_C300_MOQUEGUA_15,4345
OLT_C300_MOYOBAMBA_14,3134
OLT_C300_NAZCA_12,1889
OLT_C300_OLMOS_5,1433
OLT_C300_PACASMAYO_15,2579
OLT_C300_PISCO_24,3849
OLT_C300_PUERTO_MALDONADO_22,4800
OLT_C300_SATIPO_7,1495
OLT_C300_SICUANI_9,2960
OLT_C300_SURQUILLO_LAB,311
OLT_C300_TAMBO_GRANDE_5,1448
OLT_C300_TARAPOTO_46,5751
OLT_C300_TARMA_12,3788
OLT_C300_TOCACHE_2,1595
OLT_C300_VIRU_6,1637
OLT_C300_YURIMAGUAS_8,3386
OLT_C600_BARRANCO_25_F1,2693
OLT_C600_CHICLAYO_81,320
OLT_C600_CHORRILLOS_35_F1,579
OLT_C600_LINCE_32,241
OLT_C600_MAGDALENA_52_F1,3670
OLT_C600_PANDO-2,469
OLT_C600_SAN_JOSE_56,290
OLT_C600_SURQUILLO_PRO,57
OLT_C600_WASHINGTON_60,526
OLT_C610_ACOBAMBA_2,14
OLT_C610_ACOMAYO_1,7
OLT_C610_AGUAYTIA_7,14
OLT_C610_AIJA_3,5
OLT_C610_AMBO_2,4
OLT_C610_ANTABAMBA_2,14
OLT_C610_AYABACA_3,6
OLT_C610_BOLIVAR,7
OLT_C610_CABANA_2,1
OLT_C610_CAJATAMBO_1,8
OLT_C610_CANDARAVE_1,11
OLT_C610_CANGALLO_2,15
OLT_C610_CASCAS_1,7
OLT_C610_CASTROVIRREYNA_2,1
OLT_C610_CELENDIN_6,1
OLT_C610_CHACAS_1,8
OLT_C610_CHALHUANCA_2,4
OLT_C610_CHAVINILLO_1,10
OLT_C610_CHINCHEROS_2,11
OLT_C610_CHIQUIAN_4,2
OLT_C610_CHIVAY_3,11
OLT_C610_CHUQUIBAMBA_4,2
OLT_C610_CHUQUIBAMBILLA_2,7
OLT_C610_CHURCAMPA_3,3
OLT_C610_CONTUMAZA_1,17
OLT_C610_CORONGO_2,4
OLT_C610_COTAHUASI_2,9
OLT_C610_HUACAYBAMBA_1,9
OLT_C610_HUACRACHUCO_1,3
OLT_C610_HUANCABAMBA_4,4
OLT_C610_HUANCANE_5,2
OLT_C610_HUANCA_SANCOS_2,2
OLT_C610_HUARI_4,5
OLT_C610_HUAYTARA_2,4
OLT_C610_INAPARI_1,2
OLT_C610_IZCUCHACA_4,2
OLT_C610_JESUS_HUANUCO_1,8
OLT_C610_JULCAN_1,7
OLT_C610_JUMBILLA_1,5
OLT_C610_JUNIN_7,5
OLT_C610_LAMPA_2,7
OLT_C610_LAMUD_1,8
OLT_C610_LA_JOLLA_AS_1_F1,2
OLT_C610_LA_UNION_HUANUCO_2,4
OLT_C610_LIRCAY_6,11
OLT_C610_LLAMELLIN_1,8
OLT_C610_LLATA_2,8
OLT_C610_MACUSANI_2,15
OLT_C610_MOHO_2,9
OLT_C610_OCROS_1,7
OLT_C610_OMATE_1,5
OLT_C610_OYON_3,11
OLT_C610_PAMPAS_4,1
OLT_C610_PANAO_1,10
OLT_C610_PARURO_1,6
OLT_C610_PAUCARTAMBO_2,8
OLT_C610_PAUSA_2,11
OLT_C610_PICOTA_1,5
OLT_C610_PISCOBAMBA_1,11
OLT_C610_PUERTO_INCA_2,10
OLT_C610_PUQUIO_2,2
OLT_C610_PUTINA_2,11
OLT_C610_RODRIGUEZ_DE_MENDOZA_5,7
OLT_C610_SANDIA_2,10
OLT_C610_SANTIAGO_DE_CHUCO_1,11
OLT_C610_SANTO_TOMAS_1,9
OLT_C610_SAN_IGNACIO_6,2
OLT_C610_SAN_JOSE_DE_SISA_1,5
OLT_C610_SAN_LUIS_ANCASH_1,11
OLT_C610_SAN_MIGUEL_CAJ_2,8
OLT_C610_SAN_PABLO_4,11
